date,day,personnel,personnel*,POW
2022-02-25,2,2800,1,0
2022-02-26,3,4300,1,0
2022-02-27,4,4500,1,0
2022-02-28,5,5300,1,0
2022-03-01,6,5710,1,200
2022-03-02,7,5840,1,200
2022-03-03,8,9000,1,200
2022-03-04,9,9166,1,200
2022-03-05,10,10000,1,216
2022-03-06,11,11000,1,232
2022-03-07,12,11000,2,259

